"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7684","Visual Regression Test - Homepage","chromium","Thu Apr 24 17:17:40 IST 2025","passed","Thu Apr 24 17:17:48 IST 2025","","UItesting\LoginPage.spec.js","",""
"","35527","Employee Management Test","chromium","Fri May 02 10:40:40 IST 2025","failed","Fri May 02 10:41:15 IST 2025","","Ajensia\EmployeeManagement\EmployeeManagement.spec.js","",""
"","29513","Salary","chromium","Tue May 06 10:29:39 IST 2025","passed","Tue May 06 10:30:09 IST 2025","","Ajensia\SalaryManagement\SalaryManagement.spec.js","",""
"","44849","test","chromium","Fri Apr 18 12:13:26 IST 2025","passed","Fri Apr 18 12:14:11 IST 2025","","Ajensia\SalaryStructure\EmployeeSalaryAdvance.spec.js","",""
"","11023","should login successfully with valid credentials","chromium","Mon Apr 28 13:00:39 IST 2025","passed","Mon Apr 28 13:00:50 IST 2025","Login Test Suite","Ajensia\POMFramework\Using.spec.js","",""
"","39127","test","chromium","Fri Apr 11 15:05:29 IST 2025","passed","Fri Apr 11 15:06:09 IST 2025","","Ajensia\Master\Department.spec.js","",""
"","7233","test","chromium","Mon Apr 28 11:34:33 IST 2025","passed","Mon Apr 28 11:34:40 IST 2025","","Ajensia\idAttributes.spec.js","",""
"","120226","test","chromium","Wed Apr 16 14:55:57 IST 2025","broken","Wed Apr 16 14:57:57 IST 2025","","Ajensia\Asset Management\AddVender.spec.js","",""
"","12810","Login test for user: admin@ajensia.com","chromium","Mon Apr 28 12:19:59 IST 2025","passed","Mon Apr 28 12:20:11 IST 2025","","Ajensia\Login.spec.js","",""
"","14230","test","chromium","Fri Apr 25 11:17:13 IST 2025","passed","Fri Apr 25 11:17:27 IST 2025","","UItesting\HomePage.spec.js","",""
"","71134","test","chromium","Wed Apr 30 10:49:56 IST 2025","failed","Wed Apr 30 10:51:08 IST 2025","","Ajensia\AssetManagement\AddVender.spec.js","",""
"","5918","test","chromium","Wed Apr 16 12:47:10 IST 2025","failed","Wed Apr 16 12:47:16 IST 2025","","Ajensia\Master\Desgination.spec.js","",""
"","5106","Hybrid Test: Login with admin@ajensia.com and access Employee Management","chromium","Tue Apr 15 12:46:57 IST 2025","failed","Tue Apr 15 12:47:03 IST 2025","","Ajensia\Hybrid Framework\Just.spec.js","",""
"","8944","Hybrid Test: Login with admin@ajensia.com and access Employee Management","chromium","Thu Apr 24 12:49:50 IST 2025","failed","Thu Apr 24 12:49:59 IST 2025","","Ajensia\HybridFramework\Just.spec.js","",""
"","43472","test","chromium","Wed Apr 16 17:15:11 IST 2025","passed","Wed Apr 16 17:15:55 IST 2025","","Ajensia\Asset Management\PaymentCycle.spec.js","",""
"","17800","Salary","chromium","Thu Apr 10 10:02:33 IST 2025","failed","Thu Apr 10 10:02:51 IST 2025","","Ajensia\Salary Management\SalaryManagement.spec.js","",""
"","43002","test","chromium","Tue Apr 29 11:49:27 IST 2025","failed","Tue Apr 29 11:50:10 IST 2025","","Ajensia\Approvals\ApprovalRequest.spec.js","",""
